Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location,Is_Duplicate
The Mud Cafe,3.9,"Sandwich,Momos,Burger,Fast Food,Beverages,Desserts",300.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Shubh Anand Hi Anand Bhojnalaya,4.0,North Indian,300.0,30.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cheesecake & Co.,4.4,Bakery,300.0,37.0,Restaurant partner follows WHO protocol,Agra,False
Amritsari Kulcha Junction,4.0,"North Indian,Chinese,Rolls,Beverages",300.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cakery N Bakery,3.8,"Bakery,Desserts,Coffee,Sandwich,Fast Food",300.0,31.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Bhagwan Cake Corner,3.4,"Bakery,Desserts",300.0,30.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
North Darbar,3.5,"North Indian,Biryani,Kebab",300.0,47.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Agra Biryani Hotspot,3.9,"Biryani,North Indian,Mughlai,Kebab",300.0,38.0,Restaurant partner follows WHO protocol,Agra,False
Bistro 57,4.0,"Cafe,Beverages,Pizza,Fast Food",300.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Ram Chinese Food Center,4.1,Chinese,300.0,28.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
The Rice Bowl,4.3,"North Indian,Biryani,Rolls,Momos",300.0,44.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Chow's Kitchen,4.0,"Chinese,Thai,Asian,Momos,Healthy Food,Rolls,Burger,Sichuan",300.0,41.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Yo Yo Foods,3.9,"North Indian,Chinese,Pizza,Sandwich,Fast Food,Street Food,South Indian,Shake",300.0,50.0,Restaurant partner follows WHO protocol,Agra,False
Chatorelal Food Court,3.9,"South Indian,Chinese,Fast Food,Street Food,North Indian,Momos",300.0,36.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Break A Bread,4.2,"Fast Food,Chinese,Burger,Rolls,Beverages",300.0,29.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Deviram Sweets,4.2,"Mithai,South Indian,Street Food,North Indian",300.0,24.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Babu Misthan Bhandar,4.2,Street Food,300.0,37.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Cafe Little Bites,3.8,"Fast Food,Pizza,Sandwich,Momos,Street Food,Chinese,North Indian,Beverages",300.0,49.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Abhishek Dhaba,3.8,North Indian,300.0,26.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Ram Rasoi Yadav Dhaba Purana,3.7,North Indian,100.0,33.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
FNP Cakes By Ferns N Petals,3.9,"Bakery,Desserts",100.0,23.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Book Meal,3.7,"Chinese,North Indian,Beverages",100.0,37.0,Restaurant partner follows WHO protocol,Agra,False
Nazeer Foods,3.9,"North Indian,Fast Food,Biryani",100.0,33.0,Restaurant partner follows WHO protocol,Agra,False
Temptation,4.1,"North Indian,Chinese,Fast Food",100.0,35.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Om Sai Ram Bhojnalaya,3.7,North Indian,100.0,34.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
China Town,3.8,"Fast Food,Chinese",100.0,38.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
Square 99 Scoops & Cafe,3.9,"Chinese,North Indian,Fast Food",100.0,37.0,Restaurant partner follows WHO protocol,Agra,False
Daddy Plz,3.8,"North Indian,Fast Food,Chinese,Momos,South Indian,Shake,Beverages",100.0,49.0,Restaurant partner follows WHO protocol,Agra,False
Chopstick,3.4,"Chinese,Momos,Fast Food,North Indian,Street Food",100.0,51.0,Follows all Max Safety measures to ensure your food is safe,Agra,False
